Sector,Source,Year,Energy Use (quadrillion Btu)
Industrial,Total Industrial Delivered Energy,2043,293.2815
Industrial,Total Industrial Delivered Energy,2044,296.5562
Industrial,Total Industrial Delivered Energy,2045,299.9142
Industrial,Total Industrial Delivered Energy,2046,303.5006
Industrial,Total Industrial Delivered Energy,2047,306.6945
Industrial,Total Industrial Delivered Energy,2048,310.2674
Industrial,Total Industrial Delivered Energy,2049,313.2529
Industrial,Total Industrial Delivered Energy,2050,316.6572
Transportation,Liquids,2010,97.5161
Transportation,Liquids,2011,99.1317
Transportation,Liquids,2012,100.4013
Transportation,Liquids,2013,102.3902
Transportation,Liquids,2014,105.0579
Transportation,Liquids,2015,108.0782
Transportation,Liquids,2016,111.5867
Transportation,Liquids,2017,112.6778
Transportation,Liquids,2018,113.8648
Transportation,Liquids,2019,114.9678
Transportation,Liquids,2020,115.7829
Transportation,Liquids,2021,116.5015
Transportation,Liquids,2022,117.2766
Transportation,Liquids,2023,117.8168
Transportation,Liquids,2024,118.3346
Transportation,Liquids,2025,118.7705
Transportation,Liquids,2026,119.1608
Transportation,Liquids,2027,119.4139
Transportation,Liquids,2028,119.7096
Transportation,Liquids,2029,119.918
Transportation,Liquids,2030,120.1318
Transportation,Liquids,2031,120.3411
Transportation,Liquids,2032,120.6145
Transportation,Liquids,2033,120.8469
Transportation,Liquids,2034,121.2584
Transportation,Liquids,2035,121.7737
Transportation,Liquids,2036,122.4461
Transportation,Liquids,2037,123.1245
Transportation,Liquids,2038,123.8791
Transportation,Liquids,2039,124.7092
Transportation,Liquids,2040,125.5454
Transportation,Liquids,2041,126.4871
Transportation,Liquids,2042,127.4362
Transportation,Liquids,2043,128.5821
Transportation,Liquids,2044,129.6104
Transportation,Liquids,2045,130.7059
Transportation,Liquids,2046,131.7354
Transportation,Liquids,2047,132.9321
Transportation,Liquids,2048,134.1201
Transportation,Liquids,2049,135.269
Transportation,Liquids,2050,136.486
Transportation,Natural Gas,2010,3.8963
Transportation,Natural Gas,2011,4.122
Transportation,Natural Gas,2012,3.9477
Transportation,Natural Gas,2013,4.019
Transportation,Natural Gas,2014,4.2558
Transportation,Natural Gas,2015,4.3664
Transportation,Natural Gas,2016,4.5051
Transportation,Natural Gas,2017,5.0443
Transportation,Natural Gas,2018,5.4028
Transportation,Natural Gas,2019,5.7553
Transportation,Natural Gas,2020,6.1518
Transportation,Natural Gas,2021,6.6859
Transportation,Natural Gas,2022,7.2047
Transportation,Natural Gas,2023,7.7658
Transportation,Natural Gas,2024,8.3368
Transportation,Natural Gas,2025,8.9146
Transportation,Natural Gas,2026,9.4811
Transportation,Natural Gas,2027,10.1042
Transportation,Natural Gas,2028,10.6172
Transportation,Natural Gas,2029,11.1763
Transportation,Natural Gas,2030,11.6707
Transportation,Natural Gas,2031,12.1288
Transportation,Natural Gas,2032,12.4747
Transportation,Natural Gas,2033,12.9248
Transportation,Natural Gas,2034,13.3662
Transportation,Natural Gas,2035,13.8795
Transportation,Natural Gas,2036,14.2671
Transportation,Natural Gas,2037,14.7818
Transportation,Natural Gas,2038,15.2853
Transportation,Natural Gas,2039,15.7885
Transportation,Natural Gas,2040,16.2089
Transportation,Natural Gas,2041,16.8276
Transportation,Natural Gas,2042,17.3729
Transportation,Natural Gas,2043,17.9218
Transportation,Natural Gas,2044,18.6107
Transportation,Natural Gas,2045,19.2536
Transportation,Natural Gas,2046,19.8572
Transportation,Natural Gas,2047,20.4353
Transportation,Natural Gas,2048,21.0186
Transportation,Natural Gas,2049,21.6267
Transportation,Natural Gas,2050,22.3021
Transportation,Coal,2010,0.0081
Transportation,Coal,2011,0.0103
Transportation,Coal,2012,0.0087
Transportation,Coal,2013,0.0052
Transportation,Coal,2014,0.004
Transportation,Coal,2015,0.0049
Transportation,Coal,2016,0.0029
Transportation,Coal,2017,0
Transportation,Coal,2018,0
Transportation,Coal,2019,0
Transportation,Coal,2020,0
Transportation,Coal,2021,0
Transportation,Coal,2022,0
Transportation,Coal,2023,0
Transportation,Coal,2024,0
Transportation,Coal,2025,0
Transportation,Coal,2026,0
Transportation,Coal,2027,0
Transportation,Coal,2028,0
Transportation,Coal,2029,0
Transportation,Coal,2030,0
Transportation,Coal,2031,0
Transportation,Coal,2032,0
Transportation,Coal,2033,0
Transportation,Coal,2034,0
Transportation,Coal,2035,0
Transportation,Coal,2036,0
Transportation,Coal,2037,0
Transportation,Coal,2038,0
Transportation,Coal,2039,0
Transportation,Coal,2040,0
Transportation,Coal,2041,0
Transportation,Coal,2042,0
Transportation,Coal,2043,0
Transportation,Coal,2044,0
Transportation,Coal,2045,0
Transportation,Coal,2046,0
Transportation,Coal,2047,0
Transportation,Coal,2048,0
Transportation,Coal,2049,0
Transportation,Coal,2050,0
Transportation,Electricity,2010,1.0317
Transportation,Electricity,2011,1.1157
Transportation,Electricity,2012,1.1345
Transportation,Electricity,2013,1.1712
Transportation,Electricity,2014,1.195
Transportation,Electricity,2015,1.226
Transportation,Electricity,2016,1.3004
Transportation,Electricity,2017,1.565
Transportation,Electricity,2018,1.6347
Transportation,Electricity,2019,1.7239
Transportation,Electricity,2020,1.8174
Transportation,Electricity,2021,1.9106
Transportation,Electricity,2022,2.0121
Transportation,Electricity,2023,2.1198
Transportation,Electricity,2024,2.2318
Transportation,Electricity,2025,2.3561
Transportation,Electricity,2026,2.4911
Transportation,Electricity,2027,2.6422
Transportation,Electricity,2028,2.798
Transportation,Electricity,2029,2.9675
Transportation,Electricity,2030,3.1464
Transportation,Electricity,2031,3.3314
Transportation,Electricity,2032,3.5253
Transportation,Electricity,2033,3.7316
Transportation,Electricity,2034,3.9486
Transportation,Electricity,2035,4.1799
Transportation,Electricity,2036,4.4224
Transportation,Electricity,2037,4.6624
Transportation,Electricity,2038,4.906
Transportation,Electricity,2039,5.1617
Transportation,Electricity,2040,5.4259
Transportation,Electricity,2041,5.6978
Transportation,Electricity,2042,5.9835
Transportation,Electricity,2043,6.2766
Transportation,Electricity,2044,6.5834
Transportation,Electricity,2045,6.897
Transportation,Electricity,2046,7.2023
Transportation,Electricity,2047,7.505
Transportation,Electricity,2048,7.807
Transportation,Electricity,2049,8.1096
Transportation,Electricity,2050,8.4107
Transportation,Renewables,2010,0
Transportation,Renewables,2011,0
Transportation,Renewables,2012,0
Transportation,Renewables,2013,0
Transportation,Renewables,2014,0
Transportation,Renewables,2015,0
Transportation,Renewables,2016,0
Transportation,Renewables,2017,0
Transportation,Renewables,2018,0
Transportation,Renewables,2019,0
Transportation,Renewables,2020,0
Transportation,Renewables,2021,0
Transportation,Renewables,2022,0
Transportation,Renewables,2023,0
Transportation,Renewables,2024,0
Transportation,Renewables,2025,0
Transportation,Renewables,2026,0
Transportation,Renewables,2027,0
Transportation,Renewables,2028,0
Transportation,Renewables,2029,0
Transportation,Renewables,2030,0
Transportation,Renewables,2031,0
Transportation,Renewables,2032,0
Transportation,Renewables,2033,0
Transportation,Renewables,2034,0
Transportation,Renewables,2035,0
Transportation,Renewables,2036,0
Transportation,Renewables,2037,0
Transportation,Renewables,2038,0
Transportation,Renewables,2039,0
Transportation,Renewables,2040,0
Transportation,Renewables,2041,0
Transportation,Renewables,2042,0
Transportation,Renewables,2043,0
Transportation,Renewables,2044,0
Transportation,Renewables,2045,0
Transportation,Renewables,2046,0
Transportation,Renewables,2047,0
Transportation,Renewables,2048,0
Transportation,Renewables,2049,0
Transportation,Renewables,2050,0
Transportation,Total Transportation Delivered Energy,2010,102.4522
Transportation,Total Transportation Delivered Energy,2011,104.3797
Transportation,Total Transportation Delivered Energy,2012,105.4922
Transportation,Total Transportation Delivered Energy,2013,107.5856
Transportation,Total Transportation Delivered Energy,2014,110.5127
Transportation,Total Transportation Delivered Energy,2015,113.6755
Transportation,Total Transportation Delivered Energy,2016,117.3951
Transportation,Total Transportation Delivered Energy,2017,119.2872
Transportation,Total Transportation Delivered Energy,2018,120.9023
Transportation,Total Transportation Delivered Energy,2019,122.447
Transportation,Total Transportation Delivered Energy,2020,123.7522
Transportation,Total Transportation Delivered Energy,2021,125.0981
Transportation,Total Transportation Delivered Energy,2022,126.4934
Transportation,Total Transportation Delivered Energy,2023,127.7024
Transportation,Total Transportation Delivered Energy,2024,128.9032
Transportation,Total Transportation Delivered Energy,2025,130.0412
Transportation,Total Transportation Delivered Energy,2026,131.133
Transportation,Total Transportation Delivered Energy,2027,132.1603
Transportation,Total Transportation Delivered Energy,2028,133.1247
Transportation,Total Transportation Delivered Energy,2029,134.0618
Transportation,Total Transportation Delivered Energy,2030,134.9489
Transportation,Total Transportation Delivered Energy,2031,135.8013
Transportation,Total Transportation Delivered Energy,2032,136.6145
Transportation,Total Transportation Delivered Energy,2033,137.5034
Transportation,Total Transportation Delivered Energy,2034,138.5733
Transportation,Total Transportation Delivered Energy,2035,139.833
Transportation,Total Transportation Delivered Energy,2036,141.1355
Transportation,Total Transportation Delivered Energy,2037,142.5687
Transportation,Total Transportation Delivered Energy,2038,144.0703
Transportation,Total Transportation Delivered Energy,2039,145.6594
Transportation,Total Transportation Delivered Energy,2040,147.1801
Transportation,Total Transportation Delivered Energy,2041,149.0126
Transportation,Total Transportation Delivered Energy,2042,150.7926
Transportation,Total Transportation Delivered Energy,2043,152.7806
Transportation,Total Transportation Delivered Energy,2044,154.8044
Transportation,Total Transportation Delivered Energy,2045,156.8565
Transportation,Total Transportation Delivered Energy,2046,158.795
Transportation,Total Transportation Delivered Energy,2047,160.8724
Transportation,Total Transportation Delivered Energy,2048,162.9456
Transportation,Total Transportation Delivered Energy,2049,165.0053
Transportation,Total Transportation Delivered Energy,2050,167.1987
Total End-Use,Liquids,2010,168.6902
Total End-Use,Liquids,2011,169.5063
Total End-Use,Liquids,2012,171.8223
Total End-Use,Liquids,2013,173.7223
Total End-Use,Liquids,2014,177.4535
Total End-Use,Liquids,2015,182.0356
Total End-Use,Liquids,2016,186.3722
Total End-Use,Liquids,2017,187.4017
Total End-Use,Liquids,2018,189.0942
Total End-Use,Liquids,2019,190.321
Total End-Use,Liquids,2020,191.5094
Total End-Use,Liquids,2021,192.6491
Total End-Use,Liquids,2022,193.5942
Total End-Use,Liquids,2023,194.2968
Total End-Use,Liquids,2024,195.0877
Total End-Use,Liquids,2025,196.0934
Total End-Use,Liquids,2026,196.6481
Total End-Use,Liquids,2027,197.532
Total End-Use,Liquids,2028,198.4113
Total End-Use,Liquids,2029,199.2939
Total End-Use,Liquids,2030,200.2206
Total End-Use,Liquids,2031,201.19
Total End-Use,Liquids,2032,202.0498
Total End-Use,Liquids,2033,202.9156
Total End-Use,Liquids,2034,203.9326
Total End-Use,Liquids,2035,205.2183
Total End-Use,Liquids,2036,206.533
Total End-Use,Liquids,2037,207.9471
Total End-Use,Liquids,2038,209.4891
Total End-Use,Liquids,2039,210.8822
Total End-Use,Liquids,2040,212.3979
Total End-Use,Liquids,2041,214.1945
Total End-Use,Liquids,2042,215.9172
Total End-Use,Liquids,2043,217.7048
Total End-Use,Liquids,2044,219.49
Total End-Use,Liquids,2045,221.3209
Total End-Use,Liquids,2046,223.1759
Total End-Use,Liquids,2047,225.1081
Total End-Use,Liquids,2048,227.1648
Total End-Use,Liquids,2049,228.8907
Total End-Use,Liquids,2050,230.9204
Total End-Use,Natural Gas,2010,79.9888
Total End-Use,Natural Gas,2011,82.8199
Total End-Use,Natural Gas,2012,83.7582
Total End-Use,Natural Gas,2013,86.4264
Total End-Use,Natural Gas,2014,86.8641
Total End-Use,Natural Gas,2015,86.6315
Total End-Use,Natural Gas,2016,87.8869
Total End-Use,Natural Gas,2017,89.1498
Total End-Use,Natural Gas,2018,91.1322
Total End-Use,Natural Gas,2019,92.021
Total End-Use,Natural Gas,2020,92.8571
Total End-Use,Natural Gas,2021,94.5092
Total End-Use,Natural Gas,2022,95.4782
Total End-Use,Natural Gas,2023,96.5741
Total End-Use,Natural Gas,2024,97.7156
Total End-Use,Natural Gas,2025,98.9533
Total End-Use,Natural Gas,2026,100.4157
Total End-Use,Natural Gas,2027,101.7379
Total End-Use,Natural Gas,2028,103.0814
Total End-Use,Natural Gas,2029,104.4435
Total End-Use,Natural Gas,2030,105.6493
Total End-Use,Natural Gas,2031,106.8682
Total End-Use,Natural Gas,2032,107.8473
Total End-Use,Natural Gas,2033,109.1496
Total End-Use,Natural Gas,2034,110.4488
Total End-Use,Natural Gas,2035,111.9128
Total End-Use,Natural Gas,2036,113.0751
Total End-Use,Natural Gas,2037,114.4709
Total End-Use,Natural Gas,2038,115.8874
Total End-Use,Natural Gas,2039,117.3383
Total End-Use,Natural Gas,2040,118.8434
Total End-Use,Natural Gas,2041,120.4248
Total End-Use,Natural Gas,2042,121.9895
Total End-Use,Natural Gas,2043,123.5863
Total End-Use,Natural Gas,2044,125.2068
Total End-Use,Natural Gas,2045,126.8884
Total End-Use,Natural Gas,2046,128.5358
Total End-Use,Natural Gas,2047,130.1279
Total End-Use,Natural Gas,2048,131.8537
Total End-Use,Natural Gas,2049,133.4395
Total End-Use,Natural Gas,2050,135.2783
Total End-Use,Coal,2010,68.2421
Total End-Use,Coal,2011,72.5539
Total End-Use,Coal,2012,75.827
Total End-Use,Coal,2013,75.4266
Total End-Use,Coal,2014,75.664
Total End-Use,Coal,2015,74.25
Total End-Use,Coal,2016,70.7695
Total End-Use,Coal,2017,69.4963
Total End-Use,Coal,2018,69.1282
Total End-Use,Coal,2019,68.1186
Total End-Use,Coal,2020,67.6639
Total End-Use,Coal,2021,67.1861
Total End-Use,Coal,2022,66.8248
Total End-Use,Coal,2023,66.6307
Total End-Use,Coal,2024,66.5179
Total End-Use,Coal,2025,66.4589
Total End-Use,Coal,2026,66.3527
Total End-Use,Coal,2027,66.4477
Total End-Use,Coal,2028,66.567
Total End-Use,Coal,2029,66.7926
Total End-Use,Coal,2030,67.0464
Total End-Use,Coal,2031,67.3702
Total End-Use,Coal,2032,67.6344
Total End-Use,Coal,2033,68.0343
Total End-Use,Coal,2034,68.3982
Total End-Use,Coal,2035,68.9043
Total End-Use,Coal,2036,69.5034
Total End-Use,Coal,2037,70.1063
Total End-Use,Coal,2038,70.7358
Total End-Use,Coal,2039,71.4436
Total End-Use,Coal,2040,72.1374
Total End-Use,Coal,2041,73.0343
Total End-Use,Coal,2042,73.9431
Total End-Use,Coal,2043,74.8996
Total End-Use,Coal,2044,75.9012
Total End-Use,Coal,2045,76.9227
Total End-Use,Coal,2046,77.9542
Total End-Use,Coal,2047,78.918
Total End-Use,Coal,2048,79.9357
Total End-Use,Coal,2049,80.8925
Total End-Use,Coal,2050,81.8601
Total End-Use,Electricity,2010,63.4445
Total End-Use,Electricity,2011,65.6764
Total End-Use,Electricity,2012,67.0649
Total End-Use,Electricity,2013,69.1637
Total End-Use,Electricity,2014,70.5982
Total End-Use,Electricity,2015,72.0479
Total End-Use,Electricity,2016,74.1439
Total End-Use,Electricity,2017,75.8952
Total End-Use,Electricity,2018,78.9533
Total End-Use,Electricity,2019,80.3237
Total End-Use,Electricity,2020,82.0458
Total End-Use,Electricity,2021,83.7768
Total End-Use,Electricity,2022,85.314
Total End-Use,Electricity,2023,86.8785
Total End-Use,Electricity,2024,88.5087
Total End-Use,Electricity,2025,90.2507
Total End-Use,Electricity,2026,92.0065
Total End-Use,Electricity,2027,93.9422
Total End-Use,Electricity,2028,95.8848
Total End-Use,Electricity,2029,97.9318
Total End-Use,Electricity,2030,99.9703
Total End-Use,Electricity,2031,101.875
Total End-Use,Electricity,2032,103.7053
Total End-Use,Electricity,2033,105.5965
Total End-Use,Electricity,2034,107.4732
Total End-Use,Electricity,2035,109.5127
Total End-Use,Electricity,2036,111.4588
Total End-Use,Electricity,2037,113.4124
Total End-Use,Electricity,2038,115.2786
Total End-Use,Electricity,2039,117.2158
Total End-Use,Electricity,2040,119.1524
Total End-Use,Electricity,2041,121.3862
Total End-Use,Electricity,2042,123.6457
Total End-Use,Electricity,2043,125.9975
Total End-Use,Electricity,2044,128.4061
Total End-Use,Electricity,2045,130.8346
Total End-Use,Electricity,2046,133.0389
Total End-Use,Electricity,2047,135.127
Total End-Use,Electricity,2048,137.2568
Total End-Use,Electricity,2049,139.3205
Total End-Use,Electricity,2050,141.481
Total End-Use,Renewables,2010,17.2803
Total End-Use,Renewables,2011,17.7939
Total End-Use,Renewables,2012,18.7759
Total End-Use,Renewables,2013,19.7401
Total End-Use,Renewables,2014,20.3745
Total End-Use,Renewables,2015,21.0336
Total End-Use,Renewables,2016,22.587
Total End-Use,Renewables,2017,22.7592
Total End-Use,Renewables,2018,22.9165
Total End-Use,Renewables,2019,22.695
Total End-Use,Renewables,2020,22.9081
Total End-Use,Renewables,2021,23.0993
Total End-Use,Renewables,2022,23.2265
Total End-Use,Renewables,2023,23.3742
Total End-Use,Renewables,2024,23.5808
Total End-Use,Renewables,2025,23.8464
Total End-Use,Renewables,2026,24.0205
Total End-Use,Renewables,2027,24.339
Total End-Use,Renewables,2028,24.6566
Total End-Use,Renewables,2029,25.0428
Total End-Use,Renewables,2030,25.401
Total End-Use,Renewables,2031,25.7699
Total End-Use,Renewables,2032,26.0903
Total End-Use,Renewables,2033,26.497
Total End-Use,Renewables,2034,26.8087
Total End-Use,Renewables,2035,27.2308
Total End-Use,Renewables,2036,27.6745
Total End-Use,Renewables,2037,28.1031
Total End-Use,Renewables,2038,28.5049
Total End-Use,Renewables,2039,28.8918
Total End-Use,Renewables,2040,29.2911
Total End-Use,Renewables,2041,29.7624
Total End-Use,Renewables,2042,30.2049
Total End-Use,Renewables,2043,30.5973
Total End-Use,Renewables,2044,31.0098
Total End-Use,Renewables,2045,31.413
Total End-Use,Renewables,2046,31.8895
Total End-Use,Renewables,2047,32.3156
Total End-Use,Renewables,2048,32.7769
Total End-Use,Renewables,2049,33.1494
Total End-Use,Renewables,2050,33.5821
Total End-Use,Total Delivered Energy,2010,397.6459
Total End-Use,Total Delivered Energy,2011,408.3504
Total End-Use,Total Delivered Energy,2012,417.2483
Total End-Use,Total Delivered Energy,2013,424.4791
Total End-Use,Total Delivered Energy,2014,430.9543
Total End-Use,Total Delivered Energy,2015,435.9986
Total End-Use,Total Delivered Energy,2016,441.7595
Total End-Use,Total Delivered Energy,2017,444.7023
Total End-Use,Total Delivered Energy,2018,451.2244
Total End-Use,Total Delivered Energy,2019,453.4794
Total End-Use,Total Delivered Energy,2020,456.9842
Total End-Use,Total Delivered Energy,2021,461.2205
Total End-Use,Total Delivered Energy,2022,464.4379
Total End-Use,Total Delivered Energy,2023,467.7542
Total End-Use,Total Delivered Energy,2024,471.4108
Total End-Use,Total Delivered Energy,2025,475.6027
Total End-Use,Total Delivered Energy,2026,479.4435
Total End-Use,Total Delivered Energy,2027,483.9989
Total End-Use,Total Delivered Energy,2028,488.6012
Total End-Use,Total Delivered Energy,2029,493.5046
Total End-Use,Total Delivered Energy,2030,498.2877
Total End-Use,Total Delivered Energy,2031,503.0734
Total End-Use,Total Delivered Energy,2032,507.3271
Total End-Use,Total Delivered Energy,2033,512.1929
Total End-Use,Total Delivered Energy,2034,517.0615
Total End-Use,Total Delivered Energy,2035,522.7789
Total End-Use,Total Delivered Energy,2036,528.2448
Total End-Use,Total Delivered Energy,2037,534.0398
Total End-Use,Total Delivered Energy,2038,539.8959
Total End-Use,Total Delivered Energy,2039,545.7718
Total End-Use,Total Delivered Energy,2040,551.8222
Total End-Use,Total Delivered Energy,2041,558.8021
Total End-Use,Total Delivered Energy,2042,565.7005
Total End-Use,Total Delivered Energy,2043,572.7854
Total End-Use,Total Delivered Energy,2044,580.0139
Total End-Use,Total Delivered Energy,2045,587.3796
Total End-Use,Total Delivered Energy,2046,594.5943
Total End-Use,Total Delivered Energy,2047,601.5965
Total End-Use,Total Delivered Energy,2048,608.9879
Total End-Use,Total Delivered Energy,2049,615.6926
Total End-Use,Total Delivered Energy,2050,623.1219
Total End-Use,Electricity Related Losses,2010,139.2247
Total End-Use,Electricity Related Losses,2011,144.0659
Total End-Use,Electricity Related Losses,2012,149.0079
Total End-Use,Electricity Related Losses,2013,151.4843
Total End-Use,Electricity Related Losses,2014,152.2991
Total End-Use,Electricity Related Losses,2015,150.6043
Total End-Use,Electricity Related Losses,2016,150.2806
Total End-Use,Electricity Related Losses,2017,162.9006
Total End-Use,Electricity Related Losses,2018,165.4712
Total End-Use,Electricity Related Losses,2019,168.4314
Total End-Use,Electricity Related Losses,2020,171.7483
Total End-Use,Electricity Related Losses,2021,173.7855
Total End-Use,Electricity Related Losses,2022,176.0021
Total End-Use,Electricity Related Losses,2023,178.2298
Total End-Use,Electricity Related Losses,2024,180.5472
Total End-Use,Electricity Related Losses,2025,182.6337
Total End-Use,Electricity Related Losses,2026,186.1531
Total End-Use,Electricity Related Losses,2027,189.5575
Total End-Use,Electricity Related Losses,2028,193.035
Total End-Use,Electricity Related Losses,2029,196.5013
Total End-Use,Electricity Related Losses,2030,199.8485
Total End-Use,Electricity Related Losses,2031,203.2924
Total End-Use,Electricity Related Losses,2032,206.6731
Total End-Use,Electricity Related Losses,2033,210.1321
Total End-Use,Electricity Related Losses,2034,213.6049
Total End-Use,Electricity Related Losses,2035,216.9981
Total End-Use,Electricity Related Losses,2036,220.659
Total End-Use,Electricity Related Losses,2037,224.2724
Total End-Use,Electricity Related Losses,2038,228.0122
Total End-Use,Electricity Related Losses,2039,231.692
Total End-Use,Electricity Related Losses,2040,235.3515
Total End-Use,Electricity Related Losses,2041,239.9956
Total End-Use,Electricity Related Losses,2042,244.6224
Total End-Use,Electricity Related Losses,2043,249.1725
Total End-Use,Electricity Related Losses,2044,253.6989
Total End-Use,Electricity Related Losses,2045,258.2195
Total End-Use,Electricity Related Losses,2046,262.2856
Total End-Use,Electricity Related Losses,2047,266.4964
Total End-Use,Electricity Related Losses,2048,270.6565
Total End-Use,Electricity Related Losses,2049,274.8945
Total End-Use,Electricity Related Losses,2050,279.0398
Total End-Use,Discrepancy,2010,0.6949
Total End-Use,Discrepancy,2011,0.6513
Total End-Use,Discrepancy,2012,-0.1559
Total End-Use,Discrepancy,2013,0.9253
Total End-Use,Discrepancy,2014,-0.1533
Total End-Use,Discrepancy,2015,0.0854
Total End-Use,Discrepancy,2016,-0.5035
Total End-Use,Discrepancy,2017,2.3881
Total End-Use,Discrepancy,2018,3.8569
Total End-Use,Discrepancy,2019,5.7762
Total End-Use,Discrepancy,2020,6.9745
Total End-Use,Discrepancy,2021,7.0058
Total End-Use,Discrepancy,2022,7.0814
Total End-Use,Discrepancy,2023,7.1517
Total End-Use,Discrepancy,2024,7.2318
Total End-Use,Discrepancy,2025,7.3273
Total End-Use,Discrepancy,2026,7.3992
Total End-Use,Discrepancy,2027,7.482
Total End-Use,Discrepancy,2028,7.5618
Total End-Use,Discrepancy,2029,7.6367
Total End-Use,Discrepancy,2030,7.7118
Total End-Use,Discrepancy,2031,7.7915
Total End-Use,Discrepancy,2032,7.8618
Total End-Use,Discrepancy,2033,7.9287
Total End-Use,Discrepancy,2034,8.002
Total End-Use,Discrepancy,2035,8.0831
Total End-Use,Discrepancy,2036,8.1525
Total End-Use,Discrepancy,2037,8.2263
Total End-Use,Discrepancy,2038,8.3068
Total End-Use,Discrepancy,2039,8.3729
Total End-Use,Discrepancy,2040,8.4383
Total End-Use,Discrepancy,2041,8.5278
Total End-Use,Discrepancy,2042,8.6145
Total End-Use,Discrepancy,2043,8.6946
Total End-Use,Discrepancy,2044,8.782
Total End-Use,Discrepancy,2045,8.8718
Total End-Use,Discrepancy,2046,8.962
Total End-Use,Discrepancy,2047,9.0572
Total End-Use,Discrepancy,2048,9.1604
Total End-Use,Discrepancy,2049,9.2483
Total End-Use,Discrepancy,2050,9.3417
Total End-Use,Total Energy,2010,537.4975
Total End-Use,Total Energy,2011,553.0188
Total End-Use,Total Energy,2012,565.996
Total End-Use,Total Energy,2013,576.624
Total End-Use,Total Energy,2014,582.734
Total End-Use,Total Energy,2015,586.254
Total End-Use,Total Energy,2016,590.9841
Total End-Use,Total Energy,2017,609.5362
Total End-Use,Total Energy,2018,619.9881
Total End-Use,Total Energy,2019,626.9764
Total End-Use,Total Energy,2020,635.0324
Total End-Use,Total Energy,2021,641.3775
Total End-Use,Total Energy,2022,646.8841
Total End-Use,Total Energy,2023,652.4968
Total End-Use,Total Energy,2024,658.548
Total End-Use,Total Energy,2025,664.9169
Total End-Use,Total Energy,2026,672.344
Total End-Use,Total Energy,2027,680.3816
Total End-Use,Total Energy,2028,688.534
Total End-Use,Total Energy,2029,696.9733
Total End-Use,Total Energy,2030,705.1733
Total End-Use,Total Energy,2031,713.4769
Total End-Use,Total Energy,2032,721.1758
Total End-Use,Total Energy,2033,729.5619
Total End-Use,Total Energy,2034,737.9706
Total End-Use,Total Energy,2035,747.1564
Total End-Use,Total Energy,2036,756.3469
Total End-Use,Total Energy,2037,765.8232
Total End-Use,Total Energy,2038,775.4934
Total End-Use,Total Energy,2039,785.1092
Total End-Use,Total Energy,2040,794.8785
Total End-Use,Total Energy,2041,806.5858
Total End-Use,Total Energy,2042,818.1915
Total End-Use,Total Energy,2043,829.8997
Total End-Use,Total Energy,2044,841.7352
Total End-Use,Total Energy,2045,853.7039
Total End-Use,Total Energy,2046,865.0673
Total End-Use,Total Energy,2047,876.3677
Total End-Use,Total Energy,2048,888.0147
Total End-Use,Total Energy,2049,899.0377
Total End-Use,Total Energy,2050,910.6984
Electric Power,Liquids,2010,7.4146
Electric Power,Liquids,2011,7.7806
Electric Power,Liquids,2012,8.5009
Electric Power,Liquids,2013,8.1421
Electric Power,Liquids,2014,7.6119
Electric Power,Liquids,2015,7.2367
Electric Power,Liquids,2016,6.4573
Electric Power,Liquids,2017,6.4699
Electric Power,Liquids,2018,5.9355
Electric Power,Liquids,2019,5.4304
Electric Power,Liquids,2020,4.9285
Electric Power,Liquids,2021,4.5966
Electric Power,Liquids,2022,4.3048
Electric Power,Liquids,2023,4.0136
Electric Power,Liquids,2024,3.7225
Electric Power,Liquids,2025,3.4294
Electric Power,Liquids,2026,3.2523
Electric Power,Liquids,2027,3.0757
Electric Power,Liquids,2028,2.898
Electric Power,Liquids,2029,2.7251
Electric Power,Liquids,2030,2.5515
Electric Power,Liquids,2031,2.4382
Electric Power,Liquids,2032,2.327
Electric Power,Liquids,2033,2.2169
Electric Power,Liquids,2034,2.1065
Electric Power,Liquids,2035,1.9967
Electric Power,Liquids,2036,1.9186
Electric Power,Liquids,2037,1.8405
Electric Power,Liquids,2038,1.7608
Electric Power,Liquids,2039,1.6827
Electric Power,Liquids,2040,1.6049
Electric Power,Liquids,2041,1.5794
Electric Power,Liquids,2042,1.5537
Electric Power,Liquids,2043,1.5284
Electric Power,Liquids,2044,1.5032
Electric Power,Liquids,2045,1.4777
Electric Power,Liquids,2046,1.4739
Electric Power,Liquids,2047,1.4702
Electric Power,Liquids,2048,1.4666
Electric Power,Liquids,2049,1.4624
Electric Power,Liquids,2050,1.4587
Electric Power,Natural Gas,2010,39.7919
Electric Power,Natural Gas,2011,40.561
Electric Power,Natural Gas,2012,42.4141
Electric Power,Natural Gas,2013,41.4202
Electric Power,Natural Gas,2014,41.6922
Electric Power,Natural Gas,2015,43.8541
Electric Power,Natural Gas,2016,45.3027
Electric Power,Natural Gas,2017,46.4544
Electric Power,Natural Gas,2018,47.3894
Electric Power,Natural Gas,2019,47.2059
Electric Power,Natural Gas,2020,47.3859
Electric Power,Natural Gas,2021,47.1923
Electric Power,Natural Gas,2022,47.1719
Electric Power,Natural Gas,2023,46.9646
Electric Power,Natural Gas,2024,46.6428
Electric Power,Natural Gas,2025,46.6298
Electric Power,Natural Gas,2026,47.1615
Electric Power,Natural Gas,2027,47.6018
Electric Power,Natural Gas,2028,48.0522
Electric Power,Natural Gas,2029,48.2817
Electric Power,Natural Gas,2030,48.5805
Electric Power,Natural Gas,2031,49.4986
