studyName,Ship,"Event Index","Event Number","Tow Number","Datetime PST","Grid Line","Grid Station","Latitude (º)","Longitude (º)",Net,"Mesh Size (?)","Microplastic Abundance","Microplastic Mass (mg/m³)","Halobates Abundance","Halobates Egg Abundance","Microplastic Abundance m2","Microplastic Mass m2 (mg/m²)","Zooplankton Mass m2 (mg/m²)",Notes
"Southtow XIII",,"18-103 ",,,"1973-02-16 19:04:00",,,30.833,-136.933,neuston,505,0.06,0.031,0,0,,,,
"Southtow XIII",,"20-104 ",,,"1973-02-17 18:04:00",,,31.317,-132.65,neuston,505,0.221,0.015,0.002,0,,,,
"Southtow XIII",,"22-105 ",,,"1973-02-18 19:03:00",,,31.6,-128.783,neuston,505,0.01,0.003,0.079,0,,,,
"Southtow XIII",,"24-106 ",,,"1973-02-19 18:45:00",,,31.95,-124.083,neuston,505,0.004,0.012,0.001,0,,,,
"Southtow XIII",,"F-83 ",,,"1973-02-10 14:05:00",,,30.633,-154.95,neuston,505,0,0,0,0,,,,
7205,,,,,"1972-04-26 01:15:00",35,129,35,-128.967,neuston,505,0,0,0,0,,,,
7205,,,,,"1972-04-27 05:40:00",35,133,34.983,-133.083,neuston,505,0,0,0.004,0,,,,
7205,,,,,"1972-04-28 05:30:00",35,137,34.983,-137.05,neuston,505,0,0,0,0,,,,
7205,,,,,"1972-04-29 04:00:00",35,141,34.95,-141,neuston,505,0.023,1.44,0,0,,,,
7205,,,,,"1972-05-02 15:00:00",39,133,39,-132.983,neuston,505,0,0,0,0,,,,
7205,,,,,"1972-05-02 02:54:00",39,135,39,-135,neuston,505,0.063,0.038,0,0,,,,
7205,,,,,"1972-04-30 10:10:00",39,141,39,-141.017,neuston,505,0.017,0.036,0,0,,,,
7205,,,,,"1972-05-03 23:15:00",50,100,38,-127.817,neuston,505,0,0,0,0,,,,
7205,,,,,"1972-05-03 12:25:00",50,120,37.333,-129.283,neuston,505,0,0,0,0,,,,
7205,,,,,"1972-04-25 13:09:00",60,120,35.617,-127.9,neuston,505,0.003,0.004,0,0,,,,
"STAR 0610",,,,,"2006-08-10 20:46:00",217,256.2,3.883,-117.633,manta,505,0,0,,,,,,
"STAR 0610",,,,,"2006-09-15 20:42:00",226.9,314.1,0.233,-119.917,manta,505,0.005,0.001,,,,,,
"STAR 0610",,,,,"2006-10-27 19:47:00",236.1,172.6,3.367,-110.85,manta,505,0,0,,,,,,
"STAR 0610",,,,,"2006-10-26 19:23:00",249.4,147.1,1.9,-108.05,manta,505,0.011,0.006,,,,,,
"STAR 0610",,,,,"2006-10-25 19:22:00",254.7,107.8,2.3,-105.267,manta,505,0,0,,,,,,
"STAR 0610",,,,,"2006-10-24 19:05:00",255.3,56.9,3.88,-102.27,manta,505,0.007,0.001,,,,,,
"STAR 0610",,,,,"2006-10-19 18:45:00",272.9,62.8,4.833,-93.65,manta,505,0.019,0.016,,,,,,
"STAR 0610",,,,,"2006-10-18 18:43:00",282.3,46.7,2.667,-93.65,manta,505,0,0,,,,,,
"STAR 0610",,,,,"2006-10-17 18:53:00",287.4,8.2,0.5,-95.35,manta,505,0.013,0,,,,,,
"STAR 0010",,,,,"2000-09-17 21:47:00",245.4,188.7,1.2,-110.816,manta,505,0.027,0.059,,,,,,
"STAR 0010",,,,,"2000-09-18 21:38:00",234.8,156.5,4.116,-110.05,manta,505,0.024,0.005,,,,,,
"STAR 0010",,,,,"2000-09-19 21:32:00",245.7,127.1,3.2,-107.266,manta,505,0.033,0.032,,,,,,
"STAR 0010",,,,,"2000-09-22 21:40:00",262.2,4.3,4.733,-98.066,manta,505,0.005,0.036,,,,,,
"STAR 0010",,,,,"2000-10-08 21:23:00",280.2,76.9,4.033,-92.116,manta,505,0.044,6.581,,,,,,
"STAR 0010",,,,,"2000-10-09 21:58:00",285.7,26.1,1.383,-94.483,manta,505,0.024,0.001,,,,,,
7210,,,,,"1972-10-09 17:15:00",27,129,27,-129,neuston,505,0.003,0,0.182,0.004,,,,
7210,,,,,"1972-10-08 16:15:00",27,133,27,-133,neuston,505,0.047,0.009,0.175,0.015,,,,
7210,,,,,"1972-10-07 01:00:00",27,137,27,-135,neuston,505,0.02,0.016,0.087,0.007,,,,
7210,,,,,"1972-10-08 13:15:00",27,141,27,-141,neuston,505,0,0,0.24,0,,,,
7210,,,,,"1972-10-05 08:22:00",27,145,27,-145.1,neuston,505,0,0,0.247,0,,,,
7210,,,,,"1972-09-29 14:44:00",31,129,31,-129,neuston,505,0.027,0.008,0.051,0.029,,,,
7210,,,,,"1972-09-30 11:33:00",31,133,31,-133,neuston,505,0.117,0.018,0.058,0.004,,,,
7210,,,,,"1972-10-01 14:36:00",31,137,31,-137,neuston,505,0.007,0.009,0.156,0,,,,
7210,,,,,"1972-10-12 19:40:00",31,141,31.083,-141.233,neuston,505,0.003,0.004,0.509,0.007,,,,
7210,,,,,"1972-10-03 21:15:00",31,145,31,-145,neuston,505,0,0,0.182,0.015,,,,
7210,,,,,"1972-11-12 10:24:00",35,129,34.967,-128.983,neuston,505,0.003,0.004,0,0,,,,
7210,,,,,"1972-11-05 07:32:00",35,133,34.983,-133,neuston,505,0.073,0.03,0.018,0,,,,
7210,,,,,"1972-11-04 02:58:00",35,137,35.017,-137,neuston,505,0,0,0.153,0,,,,
7210,,,,,"1972-11-03 15:43:00",35,139,34.95,-139.017,neuston,505,0,0,0.062,0,,,,
7210,,,,,"1972-10-23 19:00:00",39,133,38.983,-133.017,neuston,505,0.007,0.047,0.018,0,,,,
7210,,,,,"1972-10-23 09:00:00",39,135,39,-135,neuston,505,0.06,0.056,0.018,0,,,,
7210,,,,,"1972-10-21 19:00:00",39,141,38.967,-140.983,neuston,505,0.003,0.004,0.553,0,,,,
7210,,,,,"1972-10-20 21:13:00",39,145,39.083,-145,neuston,505,0.02,0.275,0.356,0,,,,
7210,,,,,"1972-11-07 03:02:00",50,90,38.333,-127.083,neuston,505,0,0,0,0,,,,
7210,,,,,"1972-11-06 10:45:00",50,120,37.35,-129.267,neuston,505,0,0,0,0,,,,
7210,,,,,"1972-11-12 02:15:00",60,120,35.617,-127.883,neuston,505,0.013,0.207,0,0,,,,
